FrameNo,FrustrationEvidence
137,
138,
139,
140,
141,-0.0446962714195251
142,-0.544967293739319
143,-0.458430647850037
144,-0.26321268081665
145,-0.331005692481995
146,-0.07280397415161131
147,-0.16999769210815402
148,-0.030114829540252692
149,0.0020950436592102107
150,-0.33020067214965804
151,-0.267182350158691
152,-0.315955400466919
153,-0.356096982955933
154,-0.372789859771729
155,-0.25159478187561
156,-0.217194199562073
157,-0.10365933179855301
158,-0.4152129888534551
159,-0.40067207813262895
160,-0.18107616901397694
161,-0.350522398948669
162,-0.194428443908691
163,-0.149962842464447
164,-0.6452832221984861
165,-0.4505565166473389
166,-0.2085703611373901
167,-0.117284297943115
168,-0.5352195501327511
169,-0.27408838272094693
170,-0.4695066213607789
171,-0.21634674072265597
172,-0.21839451789855996
173,-0.474628329277039
174,-0.581075429916382
175,-0.4945383071899411
176,-0.3710193634033199
177,-0.214769244194031
178,-0.5753291845321661
179,-0.3513226509094239
180,-0.424095630645752
181,-0.434913158416748
182,-0.44571709632873513
183,-0.33348703384399403
184,-0.28888189792633095
185,-0.45968782901763905
186,-0.5196626186370851
187,-0.31011569499969494
188,-0.31610906124114996
189,-0.4279938936233521
190,-0.4282853603363038
191,-0.0772693157196045
192,-0.12155413627624503
193,-0.35938847064971907
194,-0.0432010293006897
195,-0.3746994733810421
196,-0.367119073867798
197,-0.502541542053223
198,-0.439720034599304
199,-0.304014801979065
200,-0.33531093597412104
201,-0.43746995925903315
202,-0.342535853385925
203,-0.18309092521667492
204,-0.483975887298584
205,-0.4688199758529661
206,-0.34309554100036616
207,-0.17339432239532498
208,-0.498270273208618
209,-0.45060229301452603
210,-0.365913987159729
211,-0.317009329795837
212,-0.25521492958068803
213,-0.485418796539307
214,-0.3653382062911989
215,-0.223006010055542
216,-0.1708382368087769
217,-0.514843463897705
218,-0.577053070068359
219,-0.44053673744201705
220,-0.116016805171967
221,0.0667046308517456
222,-0.21316254138946494
223,-0.22457623481750494
224,-0.23878633975982705
225,-0.20619583129882796
226,-0.19525074958801297
227,-0.3311303853988651
228,-0.38522481918335
229,-0.45078134536743203
230,-0.363415241241455
231,-0.377603650093079
232,-0.795895218849182
233,-0.32090616226196295
234,-0.468539118766785
235,-0.2797305583953861
236,0.0190567374229431
237,-0.13695996999740598
238,-0.08902621269226073
239,-0.15194404125213598
240,-0.21378135681152302
241,-0.1952564716339111
242,-0.3265222311019901
243,-0.344637274742126
244,-0.46557843685150113
245,-0.32547211647033697
246,-0.435912132263184
247,-0.0622825026512146
248,-0.34730839729309093
249,-0.2984336614608761
250,-0.33769965171814004
251,-0.294282197952271
252,-0.42314910888671886
253,-0.335382342338562
254,-0.40745186805725103
255,-0.32142567634582503
256,-0.285529971122742
257,-0.298032999038696
258,-0.40872991085052496
259,-0.14677006006240803
260,-0.33278310298919705
261,-0.182440519332886
262,-0.180562734603882
263,-0.295727968215942
264,-0.389858603477478
265,-0.4182606935501099
266,-0.283071160316467
267,-0.267304539680481
268,-0.192980051040649
269,-0.450114727020264
270,-0.5025299787521361
271,-0.17303776741027804
272,-0.17609155178070104
273,-0.28419601917266807
274,-0.224233865737915
275,-0.37967598438262895
276,-0.45088875293731695
277,-0.46097457408904996
278,-0.407480001449585
279,-0.30349862575531
280,-0.2974073886871339
281,-0.499442338943481
282,-0.3617295026779169
283,-0.497651338577271
284,-0.23749482631683305
285,-0.155292391777039
286,-0.496487379074097
287,-0.483953833580017
288,-0.505615472793579
289,-0.255154252052307
290,-0.30705451965332003
291,-0.43614459037780795
292,-0.339181542396545
293,-0.5571454763412478
294,-0.580682635307312
295,-0.40608119964599604
296,-0.38810229301452603
297,-0.35493361949920704
298,-0.166125774383545
299,-0.17972242832183802
300,-0.257262229919434
301,-0.175919890403748
302,-0.2740733623504639
303,-0.2365388870239261
304,-0.3028768301010131
305,-0.22337508201599102
306,-0.46382868289947504
307,-0.21455240249633795
308,-0.22269344329834
309,-0.21806490421295205
310,-0.25947630405426
311,-0.30417275428772006
312,-0.331151008605957
313,-0.3580329418182371
314,-0.301348447799683
315,-0.622249960899353
316,-0.3494374752044679
317,-0.23697447776794395
318,-0.19854283332824701
319,-0.5868693590164179
320,-0.430736064910889
321,-0.400566697120667
322,-0.380420804023743
323,-0.40483856201171886
324,-0.5198528766632079
325,-0.466562628746033
326,-0.6795657873153689
327,-0.5359138250350951
328,-0.583267569541931
329,-0.49307072162628207
330,-0.5657670497894288
331,-0.4788846969604491
332,-0.598754525184631
333,-0.584266066551209
334,-0.39274489879608204
335,-0.408024787902832
336,-0.6614748239517211
337,-0.28669106960296603
338,-0.536191463470459
339,-0.7281272411346439
340,-0.4695382118225099
341,-0.6667160987854002
342,-0.7075570821762093
343,-0.687098264694214
344,-0.6577382087707521
345,-0.5960246324539178
346,-0.45344483852386497
347,-1.2441090345382704
348,-0.495009899139404
349,-0.641662359237671
350,-0.5450966358184811
351,-0.627155900001526
352,-0.4228364229202271
353,-0.721860527992249
354,-0.5635594129562379
355,-0.573050618171692
356,-0.6866110563278199
357,-0.6197075843811042
358,-0.665724754333496
359,-0.636163592338562
360,-0.632616639137268
361,-0.541820406913757
362,-0.5823475122451781
363,-0.500171661376953
364,-0.4045614004135131
365,-0.7072218656539918
366,-0.6974979639053341
367,-0.517817616462708
368,-0.543156385421753
369,-0.42678093910217296
370,-0.714815020561218
371,-0.7110109329223632
372,-1.02714014053345
373,-1.03627908229828
374,-0.7560905218124391
375,-0.537516832351685
376,-0.635802984237671
377,-0.6031581163406371
378,-0.5224281549453738
379,-0.434260368347168
380,-0.35794687271118203
381,-0.5015932321548461
382,-0.980291485786438
383,-0.6514514684677121
384,-0.501681089401245
385,-0.484238743782043
386,-0.4983996152877809
387,-0.5758800506591799
388,-0.354352474212646
389,-0.330553650856018
390,-0.319113373756409
391,-0.4063777923583979
392,-0.315381765365601
393,-0.672536373138428
394,-0.46486449241638195
395,-0.5226176977157589
396,-0.5211732387542722
397,-0.48231995105743397
398,-0.4442380666732789
399,-0.396781206130981
400,-0.5286476612091061
401,-0.6316052675247191
402,-0.6911728382110598
403,-0.5638684034347529
404,-0.540746927261353
405,-0.6957484483718871
406,-0.5904620885849
407,-0.65655517578125
408,-0.686613917350769
409,-0.5665478706359861
410,-0.5721763372421259
411,-0.7986671924591059
412,-0.754600167274475
413,-0.6677937507629388
414,-0.7299811840057372
415,-0.6539506912231452
416,-0.552039861679077
417,-0.7143837213516239
418,-0.5164561271667479
419,-0.5431478023529052
420,-0.359609484672546
421,-0.626119613647461
422,-0.547559380531311
423,-0.30444288253784196
424,-0.2716070413589481
425,-0.45692539215087896
426,-0.38831710815429693
427,-0.171018838882446
428,-0.5755317211151122
429,-0.712009906768799
430,-0.473698735237122
431,-1.02503740787506
432,-0.9384461641311647
433,-0.74970805644989
434,-0.680292844772339
435,-0.4990078210830689
436,-0.5122051239013671
437,-0.6618671417236329
438,-0.559668779373169
439,-0.6815016269683839
440,-0.5493257045745851
441,-0.5513908863067628
442,-0.610348343849182
443,-0.5754626989364622
444,-0.5646290779113771
445,-0.433088183403015
446,-0.515888094902039
447,-0.6439502239227288
448,
449,
450,
451,
452,-0.211929559707642
453,-0.37802636623382607
454,-0.293358206748962
455,-0.34153199195861805
456,-0.436336755752563
457,-0.325790286064148
458,-0.2999191284179691
459,-0.4164005517959589
460,-0.4884368181228639
461,-0.481392502784729
462,-0.46909558773040794
463,-0.56627357006073
464,-0.19962823390960702
465,-0.138456225395203
466,-0.439945578575134
467,-0.6881239414215091
468,-0.7040500640869141
469,-0.5758224725723269
470,-0.543668627738953
471,-0.494370102882385
472,-0.47509169578552213
473,-0.5276533365249629
474,-0.544092893600464
475,-0.5975385904312132
476,-0.44009256362915
477,-0.4618682861328131
478,-0.685084700584412
479,-0.299530029296875
480,-0.25258779525756797
481,-0.6183677911758422
482,-0.6710203886032099
483,-0.553400278091431
484,-0.8448013067245481
485,-1.1646109819412198
486,-0.881311297416687
487,-1.02651810646057
488,
489,-0.98238730430603
490,-0.8092122077941892
491,-0.9630064964294431
492,-0.45522844791412387
493,-0.8398205041885378
494,-0.91555380821228
495,-1.01053130626678
496,-0.8830046653747561
497,-0.804898500442505
498,-0.9708348512649538
499,-1.08260095119476
500,-1.13208544254303
501,-1.6146963834762604
502,-1.3408550024032597
503,-1.5220333337783798
