FrameNo,FrustrationEvidence
157,-0.33927696943283087
158,-0.36319917440414407
159,-0.3367323875427249
160,-0.30263257026672397
161,-0.31013703346252414
162,-0.35875231027603083
163,-0.24290537834167492
164,-0.42899698019027704
165,-0.32637882232666005
166,-0.31811839342117304
167,-0.4506400227546691
168,-0.2901230454444891
169,-0.326123595237732
170,-0.334816098213196
171,-0.339747428894043
172,-0.38076227903366094
173,-0.234092116355896
174,-0.3310166597366331
175,-0.2853359580039979
176,-0.2294142246246339
177,-0.32261282205581693
178,-0.2910745739936829
179,-0.3077311515808111
180,-0.321800947189331
181,-0.28959059715271
182,-0.2594242095947269
183,-0.305107295513153
184,-0.3557698130607611
185,-0.319223403930664
186,-0.3041735887527468
187,-0.33414244651794395
188,-0.23881483078002894
189,-0.2392544150352479
190,-0.2627055048942569
191,-0.27579790353775013
192,-0.3759093880653381
193,-0.1898833513259889
194,-0.2360029220581051
195,-0.147929191589355
196,-0.23780727386474604
197,-0.27726131677627597
198,-0.15875798463821397
199,-0.1755430102348331
200,0.03898835182189941
201,-0.003815948963165282
202,-0.003058254718780519
203,-0.014860749244689893
204,-0.267348825931549
205,-0.29374551773071295
206,-0.33374780416488586
207,-0.341481328010559
208,-0.2135944366455079
209,-0.28182250261306796
210,-0.3468158841133119
211,-0.2205844521522521
212,-0.20540302991867107
213,-0.3603203892707822
214,-0.29643255472183205
215,-0.384301245212555
216,-0.3966006636619569
217,-0.3524556159973138
218,-0.1948553323745731
219,-0.33636242151260387
220,-0.3119599223136901
221,-0.41922312974929804
222,-0.4522914290428161
223,-0.4176707863807679
224,-0.44251090288162226
225,-0.4035122990608218
226,-0.5095399022102358
227,-0.41480749845504783
228,-0.5181668400764471
229,-0.446568787097931
230,-0.43317538499832187
231,-0.4429916739463809
232,-0.43084758520126276
233,-0.42018276453018194
234,-0.4581394791603089
235,-0.4459484219551088
236,-0.5146155953407289
237,-0.42260354757309027
238,-0.440687358379364
239,-0.48278576135635387
240,-0.448886215686798
241,-0.465370237827301
242,-0.5564312338829039
243,-0.5151944756507871
244,-0.5897729992866518
245,-0.5070794224739072
246,-0.550556242465973
247,-0.5410988926887511
248,-0.6245635151863099
249,-0.675278127193451
250,-0.6086483597755431
251,-0.6430813670158388
252,-0.625214993953705
253,-0.6568118929862978
254,-0.536254584789276
255,-0.5950832962989808
256,-0.6362820267677308
257,-0.596085131168365
